Carimbo de data/hora,Desenvolver uma funcionalidade que não atende o que foi requisitado pelo cliente. (Building the wrong feature or product),Distribuição desordenada de tarefas. (Mismanaging the backlog),"Trabalhar em tarefas que já foram encerradas e deveriam esta corretas, gerando retrabalho. (Rework)","Desenvolvimento de códigos complexos, para solucionar coisas simples. (Unnecessarily complex solutions)","Sobrecarga de trabalho, estar envolvido em várias etapas do processo de desenvolvimento ao mesmo tempo. (Extraneous cognitive load)","Emocionalmente abalado, excesso de cobranças e conflitos, sejam pessoais ou do ambiente de trabalho. (Psychological distress)",Excesso de tempo ocioso e atribuição de tarefas multidisciplinares. (Waiting/multitasking),Má gestão do conhecimento. (Knowledge loss),"Falhas na comunicação, falta de diálogo e falta de entrosamento das pessoas ao se comunicarem.  (Ineffective communication)","10 - Adicione uma perda de produtividade que você acha relevante, mas não consta neste formulário.  ",11 - Em que estado você trabalha?
2020/08/12 1:08:01 AM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Atividades más descritas,Paraíba
2020/08/12 10:08:58 AM GMT-3,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Necessidade de ir presencialmente ao trabalho. Este tempo já poderia ser usado para fazer diversas atividades.,Sergipe
2020/08/12 11:44:56 AM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50%dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/12 11:49:04 AM GMT-3,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/12 11:50:21 AM GMT-3,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Uma das perdas de produtividade que vejo acontecer com frequência é a criação de dependência em partes do projeto. Ex.: Para fazer alteração no backend é necessário chamar fulano porque ele que detém o conhecimento sobre aquela funcionalidade, sendo necessário esperar o tempo livre dessa pessoa e o tempo de trabalho para continuar a sua. ",Pernambuco
2020/08/12 12:00:21 PM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Lideres que apostam no egoísmo para evoluir a equipe.,Paraíba
2020/08/12 12:00:27 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Motivação inter-equipe e intra-pessoal,Pernambuco
2020/08/12 12:06:02 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Ambiente muito barulhento,Pernambuco
2020/08/12 12:28:26 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Documentação mal escrita ou incompleta ,São Paulo
2020/08/12 2:15:59 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Pernambuco
2020/08/12 3:52:57 PM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),,Pernambuco
2020/08/12 3:57:08 PM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/12 4:15:04 PM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Perder tempo lendo pdf's ou lendo mil coisas quando na verdade o aprendizado está nas perguntas certas e na execução das tarefas após respondidas as perguntas. O mundo evoluiu, não se deve perder tempo e atrasar entregas lendo pdf's livros, ou palestras sonolentas com slides mais sonolentos ainda. O melhor aproveitamento de tempo e aprendizagem contínua estão no stackoverlow e na Udemy. Tiros curtos = cliente satisfeito. Aprendizagem contínua, direta e objetiva = profissional motivado e curioso. ",Pernambuco
2020/08/12 4:27:33 PM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Pernambuco
2020/08/12 6:30:24 PM GMT-3,Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Tomar decisões, ex.: Se eu sou desenvolvedor, se tiver que parar para gerenciar outras pessoas perde muito tempo",Ceará
2020/08/12 7:49:20 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),,São Paulo
2020/08/13 10:51:43 AM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Má divisão dos papéis de cada colaborador,Pernambuco
2020/08/13 12:21:50 PM GMT-3,Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Pernambuco
2020/08/13 6:32:53 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),,Pernambuco
2020/08/14 10:23:11 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Pernambuco
2020/08/14 4:04:52 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Pernambuco
2020/08/15 7:05:28 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Alagoas
2020/08/15 9:25:49 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Alagoas
2020/08/15 11:03:23 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Alagoas
2020/08/15 6:35:15 PM GMT-3,Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Mudanças em projetos de terceiros que o seu projeto depende.,Alagoas
2020/08/15 10:48:37 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Gerenciamento do escopo do produto e recursos, gerenciamento do backlog ",Alagoas
2020/08/16 9:01:22 AM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",nível connhecimento da equipe na linguagem de desenvolvimento escolhida,Alagoas
2020/08/16 9:59:00 AM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Má gerenciamento do tempo, tentar fazer muita coisa por várias horas seguidas. Nescessário saber dividir tempo entre estudo, prática, descanso e lazer",Alagoas
2020/08/16 10:13:13 AM GMT-3,Nunca observei,Nunca observei,Nunca observei,Nunca observei,Observo com frequência (mais  de 50% dos projetos que participei),Nunca observei,Nunca observei,Nunca observei,Nunca observei,Alterar a regra do negócio que está em desenvolvimento por motivo irrelevante para o objetivo da regra.,Alagoas
2020/08/17 9:17:16 AM GMT-3,Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Nunca observei,Nunca observei,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Interrupções advindas de outras áreas de negócio (Ex: Pessoas do setor de comercial indo falar diretamente com desenvolvedores),Paraíba
2020/08/17 5:58:25 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),,MG
2020/08/20 7:16:25 PM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Comprometimento total da equipe,Ceará
2020/08/20 7:51:33 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Ceará
